,HIP,Vmag,RA,DE,Plx,pmRA,pmDE,e_Plx,B-V
152,5054,7.72,16.167828,-39.486934999999995,24.8,-168.97,-527.71,0.89,0.613
153,5114,10.08,16.384180999999998,-66.74306,22.78,-3.19,275.37,1.2,0.9640000000000001
154,5141,6.35,16.455092999999998,4.9086620000000005,21.87,11.75,-119.26,1.03,0.38299999999999995
155,5144,7.26,16.46424,4.909718,22.69,35.56,-126.7,1.03,0.484
156,5158,10.16,16.508003,-22.452892000000002,22.32,201.83,-107.22,2.12,1.078
157,5176,8.15,16.552217000000002,13.252787,20.84,165.22,-14.32,1.0,0.6559999999999999
158,5191,9.5,16.608722,-14.296188,20.01,100.17,-95.16,1.32,0.907
159,5253,7.02,16.79562,-1.7320830000000003,20.28,71.42,0.76,1.29,0.56
160,5266,11.43,16.817872,-63.394628000000004,20.54,170.57,60.41,1.5,1.54
161,5273,10.58,16.851366,69.879427,21.01,332.81,-168.29,1.61,1.0090000000000001
162,5296,5.71,16.942168,-9.785592,20.97,149.04,16.99,0.66,0.446
163,5310,5.56,16.987958,20.739321,20.23,85.43,-85.81,0.81,0.121
164,5315,6.44,16.998251999999997,1.9940939999999998,21.53,143.39,-432.84,0.83,0.847
165,5319,6.23,17.005018,32.012192,23.87,203.71,-25.62,0.78,0.39799999999999996
166,5389,9.1,17.240862,-30.929025,21.57,211.5,-104.33,1.27,0.764
167,5462,8.8,17.485876,-64.35923299999999,20.21,-3.11,9.6,0.84,0.672
168,5527,9.08,17.68556,10.999719,20.0,221.0,46.93,1.33,0.7709999999999999
169,5542,4.34,17.774711,55.149947999999995,23.73,226.62,-19.34,0.68,0.17
170,5578,7.48,17.883744,-12.842915,24.65,-29.86,-69.09,0.91,0.589
171,5586,4.51,17.914945,30.08973,20.11,74.29,-37.61,0.87,1.092
172,5644,7.74,18.124238000000002,-9.223688000000001,22.01,386.87,-9.86,0.96,0.687
173,5684,7.24,18.274262,41.654394,22.36,314.65,-37.54,0.79,0.77
174,5687,11.21,18.290284,19.712749,23.99,15.97,-208.54,2.45,
175,5697,8.95,18.328914,-1.8619450000000002,21.71,-202.02,-69.35,1.25,0.685
176,5737,5.21,18.43251,7.575489,22.09,141.66,-55.62,2.04,0.32
177,5745,8.47,18.452612,-50.655386,23.55,165.63,-82.05,1.01,0.446
178,5784,7.18,18.543673000000002,58.812445999999994,23.31,18.85,-47.5,0.86,0.546
179,5833,5.7,18.704919,-0.9742940000000001,22.79,-14.55,205.45,0.8,0.428
180,5895,8.25,18.93729,-53.715739,20.84,115.03,25.77,0.88,0.6459999999999999
181,5965,9.97,19.177982,24.502336,20.47,-58.8,-201.42,1.68,1.022
182,5970,11.97,19.185476,44.671331,20.57,211.94,-98.7,3.96,
183,6022,7.88,19.344598,-5.6325080000000005,20.42,159.04,-18.11,0.97,0.556
184,6075,11.54,19.496615,-48.150556,24.57,213.03,101.86,4.46,1.4469999999999998
185,6237,6.65,20.012387,-9.883602,20.54,27.81,-75.9,0.92,0.405
186,6271,7.0,20.115638,-57.338733,20.28,174.56,88.85,0.82,0.545
187,6278,10.62,20.13726,38.33315,21.41,15.63,-48.23,2.42,1.1079999999999999
188,6309,7.83,20.265717000000002,38.034163,20.25,277.69,17.65,1.17,0.6609999999999999
189,6431,9.5,20.651504,12.750926,23.84,403.31,9.37,2.11,1.024
190,6454,7.3,20.736256,7.418699,22.13,94.39,230.73,0.99,0.8290000000000001
191,6483,9.88,20.827316,-66.17273399999999,24.89,325.67,106.81,1.09,1.003
